nm_mun,catboost,deepar,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Paulínia,0.22,0.58,0.06,0.17,0.06,0.06,0.22,0.17,0.17,0.12,0.06,0.16
Taboão da Serra,0.48,0.86,0.31,0.45,0.31,0.38,0.52,0.55,0.52,0.56,0.32,0.46
Itapevi,0.59,0.55,0.38,0.61,0.38,0.38,0.61,0.64,0.83,0.75,0.41,0.61
Mauá,0.82,0.93,0.75,0.8,0.75,0.75,0.81,0.85,0.85,0.81,0.75,0.82
São José do Rio Preto,0.74,1.41,1.44,0.91,1.74,1.63,1.36,0.78,1.19,1.19,1.38,0.9
São Bernardo do Campo,1.17,1.13,1.26,1.23,1.33,2.1,1.11,1.16,1.33,1.56,1.36,1.16
Barueri,1.57,2.02,2.52,1.68,2.71,2.5,1.8,1.6,1.65,1.38,1.97,1.59
Bauru,1.37,1.82,2.46,1.32,3.06,2.24,1.59,1.57,1.81,2.5,2.5,1.49
Campinas,1.61,2.6,3.5,1.72,2.35,2.94,1.69,1.74,1.83,2.44,1.92,1.78
Jundiaí,1.85,1.73,2.41,1.84,3.17,2.78,1.75,1.83,1.88,2.88,2.24,1.86
Santos,1.61,2.69,2.43,1.71,3.1,3.7,2.06,1.63,2.35,2.62,1.74,1.7
Ribeirão Preto,1.83,2.92,3.64,1.83,2.43,3.69,2.03,1.68,2.5,2.69,2.54,1.91
Santo André,2.75,2.29,2.29,2.72,2.36,3.05,2.85,2.81,3.08,3.06,2.67,2.68
Carapicuíba,2.19,2.72,3.36,2.33,2.56,5.24,2.46,2.57,2.67,2.81,2.11,2.38
Guarujá,2.33,2.89,3.81,2.4,3.81,2.61,2.35,2.97,2.6,2.56,3.18,2.28
São José dos Campos,2.21,2.78,2.86,2.42,3.26,3.85,2.58,2.78,3.1,3.19,2.47,2.44
Sorocaba,2.82,3.45,3.47,2.95,4.33,3.93,2.7,2.92,2.73,3.69,3.07,2.77
Diadema,3.22,3.98,3.7,3.13,4.03,3.53,3.02,3.22,3.96,4.81,3.14,3.13
São Vicente,3.29,3.89,4.04,3.06,4.92,3.88,3.74,3.85,3.67,4.69,5.1,3.02
Guarulhos,4.09,4.47,5.17,4.42,4.26,6.08,3.92,4.26,4.67,5.94,4.45,4.18
Praia Grande,4.27,6.04,6.3,4.44,5.85,4.35,4.04,3.48,4.98,5.12,5.46,4.24
Osasco,6.16,6.09,7.15,5.57,6.96,5.54,5.68,5.46,5.94,7.56,5.97,5.61
São Paulo,17.36,11.14,19.14,14.32,20.96,13.82,13.3,14.74,14.31,18.69,16.7,13.8
