nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost
Barueri,0.66,1.04,0.68,0.57,0.66,0.61,0.66,0.7,0.9,0.65,0.68
Bauru,1.22,1.14,1.26,1.15,1.29,1.2,1.05,1.35,1.56,1.45,1.2
Campinas,2.89,3.0,3.07,2.73,3.33,2.79,3.07,2.69,3.23,2.92,2.93
Carapicuíba,0.51,0.92,0.5,0.56,0.61,0.6,0.65,0.6,0.79,0.58,0.52
Diadema,0.03,0.75,0.01,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.01
Guarujá,0.03,0.53,0.01,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.01
Guarulhos,0.04,0.05,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02
Itapevi,0.06,0.0,0.04,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.04
Jundiaí,0.06,0.76,0.04,0.0,0.0,0.04,0.06,0.0,0.0,0.0,0.04
Mauá,0.04,0.51,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01
Osasco,0.31,0.31,0.32,0.35,0.35,0.42,0.36,0.49,0.56,0.34,0.36
Paulínia,0.24,0.25,0.24,0.25,0.25,0.25,0.25,0.29,0.35,0.25,0.24
Praia Grande,0.03,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01
Ribeirão Preto,0.03,0.67,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Santo André,0.04,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
Santos,0.77,0.87,0.74,0.81,0.9,0.85,0.76,0.86,0.9,0.84,0.78
Sorocaba,0.16,0.1,0.16,0.0,0.0,0.03,0.14,0.17,0.25,0.0,0.14
São Bernardo do Campo,0.8,0.89,0.78,0.9,0.9,0.87,0.8,0.75,0.87,0.89,0.76
São José do Rio Preto,0.02,1.19,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
São José dos Campos,0.08,1.5,0.06,0.0,0.0,0.0,0.01,0.32,0.56,0.0,0.05
São Paulo,0.03,3.99,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
São Vicente,0.25,0.57,0.25,0.25,0.25,0.25,0.25,0.26,0.35,0.25,0.25
Taboão da Serra,0.05,0.0,0.02,0.0,0.0,0.18,0.04,0.0,0.0,0.0,0.02
