nm_mun,catboost,gru,lgbm,lstm,nhits,prophet,sarima,seasonal_ma3,seasonal_naive,tft,xgboost,deepar
Barueri,1.9,3.06,2.06,3.15,2.88,2.2,2.0,2.12,1.97,2.4,1.98,2.341672766391115
Bauru,1.89,3.12,1.7,3.7,2.86,2.15,1.91,2.56,3.08,3.05,1.84,2.3347256609480267
Campinas,2.22,3.85,2.29,2.77,3.48,2.13,2.22,2.51,2.77,2.47,2.35,3.191308503575438
Carapicuíba,3.68,4.37,3.76,3.35,7.4,3.5,3.8,3.86,4.46,3.77,3.74,4.2216384402437575
Diadema,4.14,4.9,4.05,4.7,4.47,3.97,3.88,4.91,5.89,3.84,3.93,4.84514119370287
Guarujá,3.56,4.82,3.62,4.82,3.72,3.56,3.97,3.78,3.86,4.22,3.55,3.8578216135207852
Guarulhos,5.51,7.05,5.57,5.71,7.31,4.58,5.31,5.63,6.92,5.97,5.42,5.847103391463132
Itapevi,0.75,0.79,0.77,0.79,0.79,0.73,0.75,0.98,1.17,0.76,0.76,0.6860074766278119
Jundiaí,2.43,3.4,2.42,3.8,3.48,2.27,2.3,2.54,3.59,2.83,2.34,2.3110468530348838
Mauá,1.27,1.46,1.32,1.46,1.46,1.28,1.31,1.43,1.48,1.44,1.33,1.4072313242430008
Osasco,7.34,8.67,6.53,8.3,6.82,6.77,6.5,6.8,8.58,7.11,6.67,7.161243423770851
Paulínia,0.27,0.25,0.26,0.25,0.25,0.31,0.26,0.31,0.35,0.25,0.26,0.6582742468071832
Praia Grande,5.71,7.56,5.6,7.02,5.36,5.21,4.54,6.36,6.03,6.53,5.33,7.524806105252749
Ribeirão Preto,2.88,4.71,2.95,3.18,4.64,2.87,2.61,3.38,3.61,3.27,2.94,4.133275030906758
Santo André,3.35,2.9,3.32,2.92,3.53,3.43,3.46,3.88,3.67,3.12,3.46,3.0330811381494636
Santos,2.03,2.86,2.03,4.43,4.55,2.48,1.93,2.73,3.02,2.22,1.98,3.7809414741632454
Sorocaba,3.57,4.33,3.67,5.64,5.04,3.53,3.72,3.71,4.79,4.06,3.45,4.330586663586333
São Bernardo do Campo,1.59,1.79,1.62,1.64,2.62,1.57,1.56,1.55,2.08,1.85,1.6,1.6904677552748202
São José do Rio Preto,0.88,1.68,1.06,2.12,1.97,1.68,0.92,1.32,1.44,1.69,1.04,1.6298427461665046
São José dos Campos,2.64,3.32,2.87,3.91,4.37,2.92,3.16,3.67,3.94,3.0,2.85,3.5737087178956513
São Paulo,21.98,22.36,18.32,25.02,17.31,18.0,19.96,19.46,22.32,20.25,18.19,15.675283094743053
São Vicente,4.13,4.9,4.18,5.94,4.51,4.83,4.97,4.68,5.85,6.06,4.04,4.999135575141641
Taboão da Serra,0.62,0.66,0.6,0.66,0.66,0.61,0.62,0.74,0.9,0.66,0.62,1.0049750931047157
